tracks	play-repeated	heart	comment
Charlie Puth Ft. Selena Gomez We Dont Talk Anymore (Jason Chen X Megan Nicole Cover)	8,652,963	110,657	1,114
Chris Brown - Privacy	6,049,046	83,404	250
Come Thru, Take You Down & Slow Motion - Jacquees, Chris Brown, & Trey Songz (Ar'mon And Trey Cover)	5,639,635	93,408	748
Case 19 feat. 6ix9ine (PROD. JASIAH)	12,462,689	142,908	5,976
Como Mirarte - Sebastián Yatra	6,192,052	87,110	719
Charlie Brown Jr. - Dias de Luta, Dias de Glória	8,070,121	106,663	463
Camila Cabello - Never Be The Same (KUST Remix)	6,599,185	78,682	401
CANCIONSITAS DE AMOR 2014 ROMEO SANTOS	7,672,747	66,645	315
Carry on EDDIE	1,130	22	2
Cool Amerika  ''Make Sum Shake''	6,635,434	78,666	165
Charles & Eddie - Would I Lie To You (Maklon Remix)	7,198,351	114,362	356
coffee breath	6,350,496	105,246	2,254
Chalino Sanchez Corridos Mix	8,322,218	70,458	1,027
Chill out lounge - A Jazzy Deep House Mix - Little Louie Vega Cafe Del Mar Naked Music Masters At Work Timmy Regisford Deep Dish	4,867,810	71,371	1,385
Chris Brown - Grass Aint Greener (RnBass)	5,744,096	81,953	357
Corte Americano	14,851,440	235,087	1,131
Cool for the Summer - Demi Lovato (Pop Punk Cover by TeraBrite)	5,793,230	55,555	615
Cheryl [prod. Jason Rich]	7,823,559	113,815	2,443
Childish Gambino-Unnecessary ft Ab-Soul and ScHoolboy Q	8,054,658	125,853	492
Cups (When I'm Gone) - Radio Version	5,006,804	61,853	1,428
